UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
214379, 4,"R",799,"R",2,"R",797,"A",,"A",,"R",121,"R",130,"R",0,"R",130,"A",,"A",,"R",37,"R",512,"R",25,"R",487,"A",,"A",,"R",162,"R",1441,"R",27,"R",1414,"A",,"A",,"R",320
214476, 4,"R",1,"Z",0,"R",1,"A",,"A",,"R",1,"R",1,"Z",0,"R",1,"A",,"A",,"R",1,"R",3,"Z",0,"R",3,"A",,"A",,"R",2,"R",5,"R",0,"R",5,"A",,"A",,"R",4
214528, 4,"R",116,"Z",0,"R",116,"A",,"A",,"R",97,"R",14,"Z",0,"R",14,"A",,"A",,"R",13,"R",65,"Z",0,"R",65,"A",,"A",,"R",35,"R",195,"R",0,"R",195,"A",,"A",,"R",145
214582, 4,"R",28,"Z",0,"R",28,"A",,"A",,"R",28,"R",5,"Z",0,"R",5,"A",,"A",,"R",5,"R",14,"Z",0,"R",14,"A",,"A",,"R",2,"R",47,"R",0,"R",47,"A",,"A",,"R",35
214777, 1,"R",4302,"R",4,"R",4298,"R",2284,"R",86,"R",2370,"R",4000,"R",4,"R",3996,"R",2823,"R",61,"R",2884,"R",7998,"R",2,"R",7996,"R",6236,"R",58,"R",6294,"R",16300,"R",10,"R",16290,"R",11343,"R",205,"R",11548
214777, 2,"R",3977,"R",4,"R",3973,"R",2210,"R",19,"R",2229,"R",3812,"R",4,"R",3808,"R",2781,"R",17,"R",2798,"R",7834,"R",2,"R",7832,"R",6204,"R",15,"R",6219,"R",15623,"R",10,"R",15613,"R",11195,"R",51,"R",11246
214777, 3,"R",325,"Z",0,"R",325,"R",74,"R",67,"R",141,"R",188,"Z",0,"R",188,"R",42,"R",44,"R",86,"R",164,"Z",0,"R",164,"R",32,"R",43,"R",75,"R",677,"R",0,"R",677,"R",148,"R",154,"R",302
214883, 1,"R",11,"R",0,"R",11,"R",2,"R",2,"R",4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",12,"R",0,"R",12,"R",3,"R",2,"R",5
214883, 2,"R",1,"Z",0,"R",1,"R",1,"R",0,"R",1,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",1,"R",0,"R",1,"R",2,"R",0,"R",2,"R",2,"R",0,"R",2
214883, 3,"R",10,"Z",0,"R",10,"R",1,"R",2,"R",3,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",10,"R",0,"R",10,"R",1,"R",2,"R",3
214892, 4,"R",58,"Z",0,"R",58,"A",,"A",,"R",24,"R",19,"Z",0,"R",19,"A",,"A",,"R",13,"R",6,"Z",0,"R",6,"A",,"A",,"R",5,"R",83,"R",0,"R",83,"A",,"A",,"R",42
214944, 4,"R",182,"R",1,"R",181,"A",,"A",,"R",130,"R",20,"R",0,"R",20,"A",,"A",,"R",20,"R",43,"R",0,"R",43,"A",,"A",,"R",34,"R",245,"R",1,"R",244,"A",,"A",,"R",184
