UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
210599, 4,"R",431,"Z",0,"R",431,"A",,"A",,"R",204,"R",22,"Z",0,"R",22,"A",,"A",,"R",16,"R",60,"Z",0,"R",60,"A",,"A",,"R",20,"R",513,"R",0,"R",513,"A",,"A",,"R",240
210605, 4,"R",929,"R",0,"R",929,"A",,"A",,"R",131,"R",210,"R",0,"R",210,"A",,"A",,"R",40,"R",868,"R",1,"R",867,"A",,"A",,"R",189,"R",2007,"R",1,"R",2006,"A",,"A",,"R",360
210669, 1,"R",156,"R",0,"R",156,"R",103,"R",0,"R",103,"R",187,"R",0,"R",187,"R",144,"R",0,"R",144,"R",258,"R",3,"R",255,"R",194,"R",0,"R",194,"R",601,"R",3,"R",598,"R",441,"R",0,"R",441
210669, 2,"R",156,"R",0,"R",156,"R",103,"R",0,"R",103,"R",187,"R",0,"R",187,"R",144,"R",0,"R",144,"R",258,"R",3,"R",255,"R",194,"R",0,"R",194,"R",601,"R",3,"R",598,"R",441,"R",0,"R",441
210711, 4,"R",72,"Z",0,"R",72,"A",,"A",,"R",54,"R",7,"Z",0,"R",7,"A",,"A",,"R",5,"R",1,"Z",0,"R",1,"A",,"A",,"R",1,"R",80,"R",0,"R",80,"A",,"A",,"R",60
210739, 1,"R",112,"R",0,"R",112,"R",77,"R",0,"R",77,"R",268,"R",0,"R",268,"R",184,"R",0,"R",184,"R",36,"R",0,"R",36,"R",26,"R",0,"R",26,"R",416,"R",0,"R",416,"R",287,"R",0,"R",287
210739, 2,"R",112,"Z",0,"R",112,"R",77,"R",0,"R",77,"R",268,"Z",0,"R",268,"R",184,"R",0,"R",184,"R",36,"Z",0,"R",36,"R",26,"R",0,"R",26,"R",416,"R",0,"R",416,"R",287,"R",0,"R",287
210748, 4,"R",10,"Z",0,"R",10,"A",,"A",,"R",7,"R",7,"Z",0,"R",7,"A",,"A",,"R",6,"R",4,"Z",0,"R",4,"A",,"A",,"R",3,"R",21,"R",0,"R",21,"A",,"A",,"R",16
210775, 1,"R",123,"R",0,"R",123,"R",74,"R",0,"R",74,"R",207,"R",0,"R",207,"R",128,"R",0,"R",128,"R",59,"R",0,"R",59,"R",41,"R",1,"R",42,"R",389,"R",0,"R",389,"R",243,"R",1,"R",244
210775, 2,"R",123,"Z",0,"R",123,"R",74,"R",0,"R",74,"R",207,"Z",0,"R",207,"R",128,"R",0,"R",128,"R",59,"Z",0,"R",59,"R",41,"R",1,"R",42,"R",389,"R",0,"R",389,"R",243,"R",1,"R",244
