university,degree,perc_men,perc_women,perc_aian,perc_asian,perc_black,perc_hisp,perc_white,perc_nhpi,perc_undergrad_grants,perc_undergrad_pell,perc_undergrad_loans
100654,Bachelors,41.07142857142857,58.92857142857143,0.35714285714285715,0.35714285714285715,89.10714285714286,0.8928571428571428,4.285714285714286,0.5357142857142857,88,70,74
100663,Bachelors,39.51644867221562,60.48355132778438,0.3170828378913991,6.222750693618708,24.05866032500991,4.875148632580261,58.54141894569956,0.03963535473642489,67,35,48
100663,Masters,34.22849340009103,65.77150659990897,0.18206645425580337,4.32407828857533,13.609467455621301,2.913063268092854,65.13427401001366,0.09103322712790168,67,35,48
100706,Bachelors,53.86973180076629,46.13026819923371,0.9195402298850575,4.291187739463601,9.425287356321839,2.7586206896551726,68.73563218390805,0.15325670498084293,68,25,40
100751,Bachelors,42.28971962616823,57.71028037383178,0.3358644859813084,1.314252336448598,9.272780373831775,4.1764018691588785,79.49766355140187,0.02920560747663551,59,18,38
100751,Masters,36.624569460390354,63.375430539609646,0.28702640642939153,1.4351320321469576,13.719862227324914,3.214695752009185,73.5361653272101,0.1148105625717566,59,18,38
100751,Doctorate,47.355769230769226,52.644230769230774,0.9615384615384616,1.201923076923077,12.980769230769232,1.6826923076923077,66.34615384615384,0.2403846153846154,59,18,38
100858,Bachelors,47.51745539177657,52.48254460822343,0.3297129557796742,2.6764934057408847,6.031807602792863,3.316524437548487,83.49495733126454,0.019394879751745538,52,15,31
100858,Masters,46.83734939759036,53.162650602409634,0.2259036144578313,1.430722891566265,6.927710843373494,3.6897590361445785,62.274096385542165,0.07530120481927711,52,15,31
100858,Doctorate,42.41842610364684,57.58157389635316,0.5758157389635317,2.8790786948176583,5.950095969289827,2.495201535508637,65.25911708253359,0.19193857965451055,52,15,31
101143,Associates,36.11111111111111,63.888888888888886,0.5555555555555556,1.6666666666666667,23.333333333333332,4.444444444444445,66.66666666666666,1.1111111111111112,72,43,13
101161,Associates,30.862533692722373,69.13746630727763,1.078167115902965,1.3477088948787064,24.258760107816713,2.6954177897574128,67.9245283018868,0.2695417789757413,72,33,20
101189,Bachelors,39.436619718309856,60.56338028169014,0.4024144869215292,0.6036217303822937,43.460764587525155,1.6096579476861168,48.08853118712273,0.2012072434607646,73,49,61
101189,Masters,29.439252336448597,70.56074766355141,1.4018691588785046,0.9345794392523363,42.05607476635514,0.46728971962616817,49.532710280373834,0.46728971962616817,73,49,61
101435,Bachelors,40.94488188976378,59.055118110236215,1.574803149606299,0.39370078740157477,24.409448818897637,5.118110236220472,60.23622047244095,0.39370078740157477,95,44,72
101514,Associates,45.13438368860056,54.86561631139944,1.7608897126969416,2.2242817423540315,13.067655236329937,5.838739573679333,71.6404077849861,0.09267840593141798,49,32,20
101736,Associates,36.17021276595745,63.829787234042556,0.4728132387706856,0.4728132387706856,11.11111111111111,6.1465721040189125,79.43262411347519,0.2364066193853428,64,38,18
101897,Associates,33.33333333333333,66.66666666666666,3.9735099337748347,0.22075055187637968,0.44150110375275936,8.388520971302428,84.76821192052981,0.22075055187637968,73,43,10
102049,Doctorate,36.48293963254593,63.51706036745407,0.7874015748031495,3.4120734908136483,12.598425196850393,2.8871391076115485,72.44094488188976,0.26246719160104987,94,11,32
102067,Associates,38.64818024263432,61.35181975736569,0.17331022530329288,0.8665511265164645,29.116117850953206,0.5199306759098787,63.951473136915084,0.17331022530329288,57,41,0
102076,Associates,33.33333333333333,66.66666666666666,4.0189125295508275,2.127659574468085,7.801418439716312,11.347517730496454,72.81323877068559,0.2364066193853428,66,43,20
102094,Bachelors,38.924050632911396,61.07594936708861,0.4746835443037975,3.2700421940928273,19.356540084388186,2.320675105485232,65.55907172995781,0.10548523206751054,65,40,57
102094,Masters,20.125223613595708,79.87477638640429,0.8944543828264758,3.1305903398926653,11.985688729874775,3.2200357781753133,71.64579606440071,0.26833631484794274,65,40,57
102094,Doctorate,32.44047619047619,67.55952380952381,0.8928571428571428,6.25,18.75,1.488095238095238,67.26190476190477,0.2976190476190476,65,40,57
102368,Bachelors,38.53288364249578,61.46711635750422,0.7166947723440135,1.0118043844856661,23.229342327150086,2.5716694772344013,59.78077571669477,0.12647554806070826,71,41,63
102368,Masters,30.333033303330332,69.66696669666966,0.27002700270027,0.8100810081008101,25.922592259225922,2.5202520252025202,26.732673267326735,0.18001800180018002,71,41,63
102553,Associates,35.76923076923077,64.23076923076924,5.512820512820513,6.666666666666667,2.6923076923076925,8.461538461538462,58.07692307692308,1.0256410256410255,45,23,21
102553,Bachelors,44.483362521891415,55.51663747810858,2.8021015761821366,9.369527145359019,2.714535901926445,7.705779334500876,62.34676007005254,0.17513134851138354,45,23,21
102553,Masters,35.944700460829495,64.0552995391705,3.686635944700461,5.529953917050691,1.8433179723502304,7.834101382488479,65.43778801843318,0.4608294930875576,45,23,21
102614,Associates,36.032388663967616,63.96761133603239,14.17004048582996,2.834008097165992,2.42914979757085,7.6923076923076925,55.465587044534416,0.4048582995951417,45,24,21
102614,Bachelors,47.05882352941176,52.94117647058824,5.88235294117647,2.3529411764705883,2.689075630252101,7.226890756302522,53.78151260504202,0.5042016806722689,45,24,21
102632,Associates,33.33333333333333,66.66666666666666,8.60215053763441,4.301075268817205,1.0752688172043012,6.451612903225806,55.91397849462365,4.301075268817205,40,18,18
102845,Associates,22.741433021806852,77.25856697819314,13.707165109034266,0.6230529595015576,7.165109034267912,11.214953271028037,48.28660436137071,6.853582554517133,80,62,70
